('北京市+北京', '0.975791')
('该寺院+谷牧同志', '0.325912')
('中国音乐学院+溥伟二弟溥儒', '0.325715')
('11月中央政治局常委李瑞环同志+恭王府和珅府邸恭王府', '0.325547')
('辅仁大学+睿庙籍没', '0.325352')
('日本+意指和珅家财宝', '0.325229')
('中国+恭王府前半部', '0.32484')
('恭王府管理中心+郭沫若人', '0.324448')
('府邸花园两部分+张嘴和珅', '0.324072')
('溥伟二弟溥儒+行楷书', '0.324004')
('11月中央政治局常委李瑞环同志+辅仁大学', '0.323835')
('北京市+僧格林沁亲王', '0.323146')
('该寺院+溥伟', '0.322475')
('恭王府人+这批紫檀家具', '0.322149')
('恭王府人+北京报纸', '0.322094')
('这批紫檀家具+我国十大元帅', '0.321989')
('台北故宫+唐颜真卿告身帖', '0.321919')
('台北故宫+奕訢', '0.321771')
('溥伟二弟溥儒+郭沫若人', '0.321623')
('政协委员+我国十大元帅', '0.321391')
('该寺院+这批紫檀家具', '0.321114')
('恭王府管理中心+明显标志', '0.320869')
('恭王府前身+台北故宫', '0.320725')
('和珅房屋+全部财富', '0.320581')
('11月中央政治局常委李瑞环同志+日本', '0.320522')
('这批紫檀家具+恭王府前半部', '0.319803')
('政协委员+府邸产权', '0.319681')
('这座宅第+行楷书', '0.319233')
('嘉庆皇帝+北京报纸', '0.319013')
('浩浩荡荡太监队伍+恭王府和珅府邸恭王府', '0.318981')
('中国音乐学院+戏楼南端明道斋', '0.318881')
('府邸+行楷书', '0.318488')
('北京恭王府+厉子嘉任务', '0.318475')
('日本+东路后进院落正房名', '0.318127')
('周恩来总理+戏楼南端明道斋', '0.317402')
('该寺院+咸丰皇帝', '0.315554')
('北京+宋易元吉聚猿图', '0.315207')
('东路前院正房名+编辑', '0.315159')
('这批紫檀家具+郭沫若人', '0.314947')
('恭王府几座主要厅堂内檐装修+驸马', '0.314862')
('每路由+此扇面', '0.31475')
('著名学者侯仁之先生+每路由', '0.314674')
('意指和珅家财宝+康熙', '0.314431')
('恭王府花园+周总理', '0.313754')
('日本首相桥本龙太郎先生+嘉庆', '0.313597')
('永璘+台北故宫', '0.312926')
('府邸花园两部分+驸马', '0.312706')
('周恩来总理+恭王府花园', '0.312288')
('恭王府管理中心+台北故宫', '0.312202')
('北京报纸+僧格林沁亲王', '0.312158')
('北京市+其府邸建筑', '0.311451')
('该寺院+日本首相桥本龙太郎先生', '0.311242')
('恭王府府邸前身+谷牧同志', '0.31122')
('恭王府管理处+曲径通幽', '0.311183')
('北京报纸+11月中央政治局常委李瑞环同志', '0.311048')
('中国音乐学院+意指和珅家财宝', '0.310677')
('八十年代初恭王府+辅仁大学', '0.310448')
('中国音乐学院+恭王府花园', '0.310366')
('利滚利+台北故宫', '0.309249')
('和珅房屋+恭王府管理处', '0.309055')
('该寺院+2008年恭王府', '0.308805')
('北京恭王府+睿庙籍没', '0.307557')
('编辑+溥伟二弟溥儒', '0.307275')
('恭王府前身+和珅房屋', '0.306223')
('一座恭王府半部清朝史+政协委员', '0.304308')
('周恩来总理+东路前院正房名', '0.304096')
('该寺院+辅仁大学', '0.303967')
('八十年代初恭王府+利滚利', '0.303927')
('恭王府管理处+睿庙籍没', '0.303822')
('中国音乐学院+清代嘉庆年间礼亲王昭梿', '0.303093')
('厉子嘉+恭王府府邸前身', '0.303053')
('恭王府府邸前身+厉善麟', '0.303053')
('日本+恭王府管理处', '0.303046')
('和珅房屋+东路后进院落正房名', '0.302998')
('和珅+我国十大元帅', '0.302284')
('百名能工巧匠+张嘴和珅', '0.302058')
('恭王府几座主要厅堂内檐装修+全部财富', '0.302017')
('日本首相桥本龙太郎先生+府邸产权', '0.301886')
('咸丰皇帝+恭王府和珅府邸恭王府', '0.301641')
('政协委员+溥伟二弟溥儒', '0.301195')
('山中定次郎+北京', '0.30088')
('周恩来总理+溥伟二弟溥儒', '0.299826')
('恭王府管理中心+北京报纸', '0.298899')
('咸丰皇帝+意指和珅家财宝', '0.298476')
('和珅房屋+唐颜真卿告身帖', '0.298017')
('日本首相桥本龙太郎先生+中国', '0.297976')
('一座恭王府半部清朝史+府邸产权', '0.297828')
('咸丰皇帝+此扇面', '0.2972')
('睿庙籍没+行楷书', '0.2971')
('咸丰皇帝+张嘴和珅', '0.296646')
('北京报纸+我国十大元帅', '0.295467')
('北京恭王府+该寺院', '0.29451')
('中央政治局常委李岚清同志+厉子嘉任务', '0.294086')
('恭王府管理中心+日本', '0.293985')
('恭王府几座主要厅堂内檐装修+咸丰皇帝', '0.293884')
('2008年恭王府+日本', '0.293745')
('厉子嘉任务+府邸产权', '0.293323')
('府邸+清代嘉庆年间礼亲王昭梿', '0.293234')
('北京报纸+恭王府银安殿', '0.293111')
('著名学者侯仁之先生+日本', '0.292031')
('和珅房屋+台北故宫', '0.291974')
('恭王府几座主要厅堂内檐装修+乾隆', '0.291433')
('宋易元吉聚猿图+恭王府和珅府邸恭王府', '0.290597')
('戏楼南端明道斋+利滚利', '0.290379')
('恭王府和珅府邸恭王府+殿堂屋顶', '0.290238')
('2008年恭王府+厉子嘉任务', '0.289836')
('利滚利+恭王府以前主人', '0.289103')
('一座恭王府半部清朝史+谷牧同志', '0.288455')
('恭王府管理中心+中国', '0.288423')
('2008年恭王府+谷牧同志', '0.288238')
('中国音乐学院+恭王府几座主要厅堂内檐装修', '0.28817')
('和珅+睿庙籍没', '0.286759')
('中央政治局常委李岚清同志+溥伟二弟溥儒', '0.286609')
('政协委员+恭王府几座主要厅堂内檐装修', '0.285668')
('辅仁大学+戏楼南端明道斋', '0.28554')
('2008年恭王府+台北故宫', '0.285504')
('恭王府前身+辅仁大学', '0.285194')
('政协委员+恭王府以前主人', '0.285032')
('北京+恭王府银安殿', '0.284919')
('北京报纸+宋易元吉聚猿图', '0.284484')
('东路前院正房名+和珅', '0.284414')
('府邸产权+乾隆', '0.284283')
('编辑+我国十大元帅', '0.284152')
('中国+意指和珅家财宝', '0.283273')
('东路前院正房名+每路由', '0.283248')
('全部财富+张嘴和珅', '0.282564')
('恭王府以前主人+行楷书', '0.282031')
('恭王府几座主要厅堂内檐装修+谷牧领导同志', '0.281978')
('政协委员+恭亲王七百件珍藏', '0.281797')
('和珅房屋+清代嘉庆年间礼亲王昭梿', '0.281441')
('北京报纸+厉善麟祖父厉子嘉', '0.281108')
('中央政治局常委李岚清同志+驸马', '0.281007')
('这批紫檀家具+意指和珅家财宝', '0.280418')
('中央政治局常委李岚清同志+和珅房屋', '0.280307')
('一座恭王府半部清朝史+利滚利', '0.280144')
('北京报纸+府邸', '0.28002')
('北京恭王府+东路前院正房名', '0.278915')
('北京恭王府+戏楼南端明道斋', '0.278871')
('恭王府管理处+全部财富', '0.278594')
('这批紫檀家具+府邸', '0.278535')
('恭王府前身+北京市', '0.278488')
('一座恭王府半部清朝史+日本', '0.278345')
('戏楼南端明道斋+中国', '0.277758')
('小恭王溥伟+台北故宫', '0.277418')
('恭王府以前主人+嘉庆', '0.276941')
('编辑+乾隆五十四年固伦和孝公主', '0.27683')
('我国十大元帅+张嘴和珅', '0.27662')
('中国音乐学院+2008年恭王府', '0.276535')
('溥伟二弟溥儒+每路由', '0.275357')
('北京市+张嘴和珅', '0.27526')
('全部财富+清代嘉庆年间礼亲王昭梿', '0.275168')
('浩浩荡荡太监队伍+行楷书', '0.274214')
('恭王府管理中心+北京市', '0.273844')
('日本首相桥本龙太郎先生+和珅', '0.273788')
('2008年恭王府+全部财富', '0.273351')
('一座恭王府半部清朝史+全部财富', '0.272818')
('编辑+府邸产权', '0.272414')
('编辑+原国务院副总理李岚清同志', '0.272322')
('恭王府管理处+康熙', '0.271821')
('11月中央政治局常委李瑞环同志+北京市', '0.271694')
('厉子嘉+府邸花园两部分', '0.271508')
('2008年恭王府+每路由', '0.27115')
('周总理+恭王府管理处', '0.271013')
('这批紫檀家具+曲径通幽', '0.270209')
('中央政治局常委李岚清同志+北京市', '0.270189')
('恭王府管理中心+溥伟二弟溥儒', '0.270188')
('恭王府管理中心+每路由', '0.27007')
('日本首相桥本龙太郎先生+全部财富', '0.269341')
('日本+府邸产权', '0.269326')
('北京恭王府+府邸花园两部分', '0.269309')
('恭王府前身+编辑', '0.2686')
('其府邸建筑+北京', '0.268044')
('台北故宫+行楷书', '0.267551')
('和珅+清代嘉庆年间礼亲王昭梿', '0.267476')
('北京+张嘴和珅', '0.266401')
('编辑+恭亲王奕忻', '0.265741')
('浩浩荡荡太监队伍+日本', '0.265648')
('嘉庆皇帝+恭王府几座主要厅堂内檐装修', '0.265012')
('恭王府管理中心+北京', '0.264841')
('北京恭王府+这批紫檀家具', '0.264626')
('北京报纸+山中定次郎', '0.264137')
('北京报纸+恭王府主人奕䜣', '0.264137')
('日本+溥伟二弟溥儒', '0.263758')
('这批紫檀家具+奕訢', '0.263524')
('政协委员+东路前院正房名', '0.263334')
('利滚利+东路后进院落正房名', '0.263163')
('府邸花园两部分+嘉庆', '0.262457')
('政协委员+小恭王溥伟', '0.260944')
('浩浩荡荡太监队伍+编辑', '0.260728')
('府邸花园两部分+周恩来总理', '0.260673')
('11月中央政治局常委李瑞环同志+府邸产权', '0.260483')
('这批紫檀家具+恭亲王奕忻', '0.260388')
('中国+恭王府花园', '0.259486')
('恭王府前身+北京', '0.258763')
('2008年恭王府+溥伟', '0.257771')
('该寺院+僧格林沁亲王', '0.257532')
('北京报纸+睿庙籍没', '0.256435')
('浩浩荡荡太监队伍+台北故宫', '0.256259')
('日本首相桥本龙太郎先生+溥伟二弟溥儒', '0.256236')
('北京恭王府+东路后进院落正房名', '0.255659')
('日本+清代嘉庆年间礼亲王昭梿', '0.254703')
('睿庙籍没+恭王府和珅府邸恭王府', '0.254577')
('恭王府府邸前身+日本', '0.254228')
('北京报纸+2008年恭王府', '0.253619')
('一座恭王府半部清朝史+府邸', '0.251153')
('恭王府和珅府邸恭王府+乾隆', '0.251131')
('恭王府花园+郭沫若人', '0.251023')
('该寺院+北京市', '0.249609')
('意指和珅家财宝+行楷书', '0.248989')
('北京市+唐颜真卿告身帖', '0.24761')
('府邸花园两部分+全部财富', '0.246917')
('编辑+睿庙籍没', '0.246813')
('和珅房屋+睿庙籍没', '0.246677')
('政协委员+戏楼南端明道斋', '0.245983')
('恭王府管理中心+此扇面', '0.245428')
('嘉庆皇帝+恭王府和珅府邸恭王府', '0.245414')
('台北故宫+每路由', '0.244092')
('八十年代初恭王府+北京', '0.244083')
('原国务院副总理李岚清同志+台北故宫', '0.24315')
('溥伟二弟溥儒+恭王府和珅府邸恭王府', '0.241794')
('北京报纸+行楷书', '0.240762')
('恭王府前身+溥伟二弟溥儒', '0.240266')
('北京市+恭王府花园', '0.238528')
('2008年恭王府+北京', '0.237717')
('台北故宫+恭王府和珅府邸恭王府', '0.236983')
('中央政治局常委李岚清同志+编辑', '0.236381')
('一座恭王府半部清朝史+和珅房屋', '0.235861')
('明显标志+和珅房屋', '0.234264')
('整座府邸+行楷书', '0.23419')
('明显标志+府邸花园两部分', '0.232539')
('明显标志+恭王府花园', '0.232539')
('11月中央政治局常委李瑞环同志+和珅房屋', '0.232108')
('恭王府和珅府邸恭王府+我国十大元帅', '0.231047')
('府邸花园两部分+日本', '0.230627')
('政协委员+这批紫檀家具', '0.229519')
('和珅房屋+僧格林沁亲王', '0.229018')
('北京恭王府+浩浩荡荡太监队伍', '0.228258')
('府邸花园两部分+台北故宫', '0.226886')
('乾隆五十四年固伦和孝公主+行楷书', '0.226597')
('八十年代初恭王府+行楷书', '0.226244')
('和珅房屋+恭亲王奕忻', '0.225855')
('北京+睿庙籍没', '0.223859')
('恭王府府邸前身+行楷书', '0.22181')
('府邸花园两部分+行楷书', '0.220189')
('北京恭王府+行楷书', '0.218954')
('意指和珅家财宝+台北故宫', '0.218893')
('原国务院副总理李岚清同志+和珅房屋', '0.218062')
('中央政治局常委李岚清同志+咸丰皇帝', '0.218042')
('东路后进院落正房名+行楷书', '0.216449')
('北京报纸+恭王府花园', '0.216421')
('著名学者侯仁之先生+中国', '0.215539')
('恭王府花园+全部财富', '0.214509')
('这批紫檀家具+张嘴和珅', '0.21447')
('这批紫檀家具+溥伟', '0.214071')
('北京报纸+恭王府以前主人', '0.212553')
('奕訢+恭王府和珅府邸恭王府', '0.211642')
('恭王府和珅府邸恭王府+此处私宅', '0.211242')
('厉家菜+恭王府和珅府邸恭王府', '0.209949')
('这批紫檀家具+康熙', '0.209937')
('北京报纸+著名学者侯仁之先生', '0.208578')
('恭王府管理处+行楷书', '0.207846')
('著名学者侯仁之先生+和珅房屋', '0.20658')
('曲径通幽+恭王府和珅府邸恭王府', '0.20539')
('浩浩荡荡太监队伍+辅仁大学', '0.203412')
('恭王府以前主人+溥伟二弟溥儒', '0.203329')
('日本首相桥本龙太郎先生+北京', '0.199824')
('这批紫檀家具+恭王府管理处', '0.199233')
('府邸花园两部分+编辑', '0.198284')
('北京报纸+其府邸建筑', '0.198001')
('恭王府几座主要厅堂内檐装修+利滚利', '0.197397')
('日本首相桥本龙太郎先生+北京市', '0.196456')
('著名学者侯仁之先生+北京市', '0.19557')
('戏楼南端明道斋+和珅', '0.195569')
('嘉庆帝+恭王府和珅府邸恭王府', '0.191249')
('乾隆五十四年固伦和孝公主+北京', '0.191028')
('东路前院正房名+台北故宫', '0.190529')
('恭王府府邸前身+编辑', '0.18962')
('恭王府几座主要厅堂内檐装修+嘉庆', '0.187878')
('中国+这批紫檀家具', '0.186791')
('北京市+睿庙籍没', '0.186772')
('恭王府和珅府邸恭王府+嘉庆', '0.186742')
('台北故宫+恭王府管理处', '0.186395')
('政协委员+恭亲王奕忻', '0.185885')
('2008年恭王府+编辑', '0.185795')
('恭王府几座主要厅堂内檐装修+中国', '0.18551')
('此扇面+恭王府和珅府邸恭王府', '0.184024')
('谷牧同志+恭王府和珅府邸恭王府', '0.183802')
('台北故宫+百名能工巧匠', '0.183367')
('北京市+恭王府以前主人', '0.182051')
('恭王府几座主要厅堂内檐装修+溥伟二弟溥儒', '0.181788')
('驸马+恭王府和珅府邸恭王府', '0.18037')
('浩浩荡荡太监队伍+北京报纸', '0.179328')
('11月中央政治局常委李瑞环同志+行楷书', '0.17787')
('一座恭王府半部清朝史+辅仁大学', '0.177258')
('政协委员+恭王府和珅府邸恭王府', '0.175436')
('北京报纸+东路后进院落正房名', '0.175335')
('这批紫檀家具+北京', '0.173379')
('北京报纸+唐颜真卿告身帖', '0.169893')
('北京+恭亲王奕忻', '0.169829')
('2008年恭王府+利滚利', '0.168918')
('厉子嘉+这批紫檀家具', '0.167138')
('这批紫檀家具+厉善麟', '0.167138')
('这批紫檀家具+溥伟二弟溥儒', '0.166261')
('北京+意指和珅家财宝', '0.165547')
('原国务院副总理李岚清同志+行楷书', '0.164669')
('这座宅第+恭王府和珅府邸恭王府', '0.163454')
('一座恭王府半部清朝史+编辑', '0.159518')
('中国音乐学院+恭王府和珅府邸恭王府', '0.15937')
('这批紫檀家具+厉子嘉任务', '0.158961')
('北京市+东路后进院落正房名', '0.152993')
('恭王府几座主要厅堂内檐装修+台北故宫', '0.151584')
('2008年恭王府+行楷书', '0.144126')
('府邸花园两部分+中国', '0.142365')
('恭王府府邸前身+北京', '0.13872')
('厉子嘉+恭王府和珅府邸恭王府', '0.138263')
('这批紫檀家具+咸丰皇帝', '0.135909')
('每路由+恭王府和珅府邸恭王府', '0.134291')
('这批紫檀家具+驸马', '0.133304')
('编辑+恭王府和珅府邸恭王府', '0.129981')
('府邸产权+行楷书', '0.127541')
('百名能工巧匠+恭王府和珅府邸恭王府', '0.125713')
('辅仁大学+清代嘉庆年间礼亲王昭梿', '0.123018')
('这批紫檀家具+和珅房屋', '0.122443')
('该寺院+台北故宫', '0.11819')
('北京+清代嘉庆年间礼亲王昭梿', '0.114411')
('北京报纸+戏楼南端明道斋', '0.113836')
('北京+东路后进院落正房名', '0.111532')
('恭王府几座主要厅堂内檐装修+北京市', '0.110994')
('明显标志+恭王府和珅府邸恭王府', '0.103397')
('浩浩荡荡太监队伍+北京市', '0.101224')
('这批紫檀家具+和珅', '0.0952629')
('一座恭王府半部清朝史+北京', '0.0880175')
('辅仁大学+恭王府和珅府邸恭王府', '0.08747')
('戏楼南端明道斋+北京市', '0.0854469')
('浩浩荡荡太监队伍+北京', '0.0699578')
('恭王府和珅府邸恭王府+全部财富', '0.0513838')
('北京+恭王府和珅府邸恭王府', '0.0449961')
('编辑+清代嘉庆年间礼亲王昭梿', '0.0432661')
('府邸花园两部分+北京', '0')
('利滚利+恭王府和珅府邸恭王府', '0')
